,Asset_Name,timestamp,Close,Close_diff,%Change
9520,Monero,2018-01-01,329.46,,
9521,Monero,2018-01-02,340.345,10.885000000000048,3.303891215929111
9522,Monero,2018-01-03,365.16,24.814999999999998,7.291131058190947
9523,Monero,2018-01-04,385.03,19.869999999999948,5.441450323146002
9524,Monero,2018-01-05,371.0,-14.029999999999973,-3.6438719060852387
9525,Monero,2018-01-06,356.125,-14.875,-4.009433962264152
9526,Monero,2018-01-07,391.845,35.72000000000003,10.030186030186039
9527,Monero,2018-01-08,397.41,5.564999999999998,1.4202044175630757
9528,Monero,2018-01-09,401.285,3.875,0.9750635363981797
9529,Monero,2018-01-10,410.0,8.714999999999975,2.1717731786635275
9530,Monero,2018-01-11,403.05,-6.949999999999989,-1.6951219512195137
9531,Monero,2018-01-12,352.38,-50.670000000000016,-12.571641235578712
9532,Monero,2018-01-13,389.0,36.620000000000005,10.392190249162848
9533,Monero,2018-01-14,415.12,26.120000000000005,6.714652956298206
9534,Monero,2018-01-15,392.61,-22.50999999999999,-5.422528425515516
9535,Monero,2018-01-16,413.405,20.79499999999996,5.296604773184566
9536,Monero,2018-01-17,316.215,-97.19,-23.509633410336118
9537,Monero,2018-01-18,320.33,4.115000000000009,1.3013297914393762
9538,Monero,2018-01-19,310.855,-9.474999999999966,-2.9578871788468075
9539,Monero,2018-01-20,366.775,55.91999999999996,17.98909459394249
9540,Monero,2018-01-21,382.2,15.425000000000011,4.205575625383418
9541,Monero,2018-01-22,347.04,-35.15999999999997,-9.19937205651491
9542,Monero,2018-01-23,314.44,-32.60000000000002,-9.393729829414488
9543,Monero,2018-01-24,307.31,-7.1299999999999955,-2.267523215875844
9544,Monero,2018-01-25,319.025,11.714999999999975,3.8121115485991286
9545,Monero,2018-01-26,315.47,-3.55499999999995,-1.114332732544454
9546,Monero,2018-01-27,322.85,7.3799999999999955,2.3393666592703033
9547,Monero,2018-01-28,323.685,0.8349999999999795,0.25863404057611117
9548,Monero,2018-01-29,334.21,10.524999999999977,3.2516180854843313
9549,Monero,2018-01-30,315.68,-18.529999999999973,-5.544418180186106
9550,Monero,2018-01-31,273.08,-42.60000000000002,-13.494678155093776
9551,Monero,2018-02-01,273.81,0.7300000000000182,0.2673209315951386
9552,Monero,2018-02-02,242.99,-30.819999999999993,-11.255980424381873
9553,Monero,2018-02-03,238.32,-4.670000000000016,-1.9218897897032905
